RESULT
[0.020883827306345002, 0.007059462581515998, 0.5765483663646124, 0.17949671011460003, 0.008456147787400633, 0.06437900120846973]	[0, 0, 0, 0, 0, 1]
[0.12322548683968586, 0.006906949954768613, 0.32005707945908063, 0.14590439284828005, 0.005078740959162869, 0.04683706549485058]	[0, 0, 0, 0, 0, 1]
[0.2448598772119575, 0.0016593545295857561, 0.3589320956315936, 0.19500136037180626, 0.007771599487116693, 0.04458707630922787]	[0, 0, 1, 0, 0, 0]
[0.038622245450333735, 0.009778587994934716, 0.4920537850946033, 0.1514257978496785, 0.005314525064674941, 0.05744087636854488]	[0, 0, 0, 1, 0, 0]
[0.021927527727256046, 0.004885261483373238, 0.44496684519846863, 0.20448044260257225, 0.017118735075228757, 0.06189688361482707]	[0, 0, 0, 0, 1, 0]
[0.012536569405201951, 0.013373652534310495, 0.5351249942373743, 0.16168563320729834, 0.00835784142241902, 0.0664467616280403]	[0, 0, 0, 0, 1, 0]
[0.8206175551657796, 0.004279157236881606, 0.2977602589719053, 0.09960823256757885, 0.000609495998451351, 0.030475396066876877]	[0, 0, 0, 1, 0, 0]
[0.9823057522059631, 0.0006604053207475911, 0.09328025526943096, 0.13321380112197767, 0.0014603287557462064, 0.020778209791712878]	[0, 0, 0, 1, 0, 0]
[0.6673904433085951, 0.0013420363731025022, 0.32700627636633545, 0.16071475968463433, 0.002672930032068003, 0.035322816438814374]	[0, 0, 0, 1, 0, 0]
[0.07535738991732419, 0.008117051667376949, 0.8817279037465371, 0.12688058449150388, 0.000672126076562897, 0.06263332582789723]	[0, 0, 1, 0, 0, 0]
[0.6422232600412006, 0.001350302716993047, 0.4648268948337472, 0.1574249427433663, 0.0017843041151571007, 0.03760666886582525]	[0, 0, 1, 0, 0, 0]
[0.9135303117928216, 0.00037840961036644685, 0.15454768197365654, 0.19401227702634596, 0.005001417492838259, 0.0273519207238607]	[1, 0, 0, 0, 0, 0]
[0.004944541997531852, 0.019155264128587177, 0.7547694224715487, 0.15688650400881038, 0.005504308267886415, 0.07975825640732201]	[0, 0, 0, 1, 0, 0]
[0.0032839226496996516, 0.10092101259076561, 0.793787053720706, 0.09558188572012111, 0.001441090155268479, 0.08138271607374961]	[0, 1, 0, 0, 0, 0]
[0.009441251726693859, 0.024847927282186957, 0.5866613495093648, 0.13765916504228287, 0.005145106962403435, 0.06878604381419408]	[0, 1, 0, 0, 0, 0]
[0.9726215698447198, 0.0011118392977640273, 0.0759229016133785, 0.12310277502260424, 0.0015899862930042255, 0.02125278053606303]	[1, 0, 0, 0, 0, 0]
