RESULT
[0.8222114142716351, 0.020827736977643212, 0.25930640573398706, 0.08622260139361906, 0.00017376155607984204, 0.002985996762173019]	[1, 0, 0, 0, 0, 0]
[0.8087371579061818, 0.028533762278420926, 0.23204740680680863, 0.11515414052728845, 0.00013650153598167321, 0.0024401775227065005]	[1, 0, 0, 0, 0, 0]
[0.6171056972367064, 0.047810976201236, 0.0837095973541819, 0.13983925142220305, 0.0004303465755026932, 0.0019878528815971785]	[1, 0, 0, 0, 0, 0]
[0.9990778684747557, 0.0008472592720959608, 0.020192468510485163, 0.005065550741219257, 0.006090744528903808, 0.010377633136844089]	[1, 0, 0, 0, 0, 0]
[0.9863317759774614, 0.0026632970550315616, 0.10045085138859156, 0.005139135133431344, 0.0028368252165039804, 0.0135900323682379]	[1, 0, 0, 0, 0, 0]
[0.9654202803542972, 0.002362485172157517, 0.12798352493812118, 0.0038001461320014023, 0.004541605171885391, 0.015482642554210236]	[1, 0, 0, 0, 0, 0]
[0.9958265776385998, 0.00047458188519822366, 0.006416922510536695, 0.004758560850084874, 0.08015765266203241, 0.011267870068234006]	[1, 0, 0, 0, 0, 0]
[0.08903970263635129, 0.41032126307768024, 0.001553798723850836, 0.2614176098526661, 0.007214891916901002, 0.0009579443356329514]	[0, 1, 0, 0, 0, 0]
[0.001973637714243815, 0.94384532275966, 0.0003555306000650425, 0.07312364080376141, 0.025132522823707256, 0.0017078188117534714]	[0, 1, 0, 0, 0, 0]
[0.019032445571827185, 0.35254905397747227, 0.0007707349436733226, 0.09537519636217415, 0.07460686421431603, 0.0020969603343195817]	[0, 1, 0, 0, 0, 0]
[0.022405372154711008, 0.37410569482895556, 0.0006019447207538415, 0.01746101762319687, 0.1635789602264064, 0.005103719350204464]	[0, 1, 0, 0, 0, 0]
[0.0010245213944449025, 0.007100870327995727, 0.9996328004866047, 0.00846671720304071, 3.887752801727738e-05, 0.030306210950771375]	[0, 0, 1, 0, 0, 0]
[0.0006891627211531205, 0.005030652203702468, 0.9987618499128762, 0.012372510254857963, 0.00022289869524422105, 0.026138031086315416]	[0, 0, 1, 0, 0, 0]
[0.001902910773851407, 0.01402031642431381, 0.9922709309866018, 0.005372322052856382, 0.0003298519179926231, 0.02691572509741982]	[0, 0, 1, 0, 0, 0]
[0.054804364853396126, 0.023497001091186385, 0.003702894485284855, 0.8311204290065638, 0.02809050767845065, 0.0004146765187506138]	[0, 0, 0, 1, 0, 0]
[0.23641675632192136, 0.004493279079687559, 0.002761619677317114, 0.8446717780464976, 0.04976554067527035, 0.0003804781299601398]	[0, 0, 0, 1, 0, 0]
[0.08941639185246951, 0.027942442683567704, 0.0008209704681487252, 0.6494216804113804, 0.08290579723167786, 0.0005199856116328238]	[0, 0, 0, 1, 0, 0]
[0.0015439749020076114, 0.013624004421485836, 0.0018636571061584404, 0.04148726202850371, 0.9542828557812361, 0.009223745652138309]	[0, 0, 0, 0, 1, 0]
[0.0016128549581817973, 0.04053206351101729, 0.0017585748603474046, 0.06600486634397677, 0.8264071107396221, 0.005598103145888985]	[0, 0, 0, 0, 1, 0]
[0.019646180799852506, 0.006051834185986183, 0.2598766895749153, 0.00013063927856087082, 0.5116676243199342, 0.18234633542833964]	[0, 0, 0, 0, 1, 0]
[0.007594789385566813, 0.013738065877194639, 0.09397389083964161, 0.0005349980369945622, 0.5016278045235568, 0.08150741256091837]	[0, 0, 0, 0, 0, 1]
[0.015624144730994516, 0.0045843784544302435, 0.03717371059537816, 0.0009465401371769189, 0.812401305236066, 0.0635134845647988]	[0, 0, 0, 0, 1, 0]
[0.8415195234711664, 0.006974779098903869, 0.04181336617234803, 0.3072892513562722, 0.00081547793802827, 0.0009670866700793097]	[1, 0, 0, 0, 0, 0]
[0.9488459222074149, 0.009753642755903805, 0.039265482668426055, 0.1661365119661108, 0.00037355744385610503, 0.001208290265575218]	[1, 0, 0, 0, 0, 0]
[0.9476403274343066, 0.009653557306127764, 0.07769794741523155, 0.18149937829117532, 0.00021525879554359578, 0.0013092189142052781]	[1, 0, 0, 0, 0, 0]
[0.9796642188300752, 0.0034209969096139097, 0.18648749567820933, 0.00393338814729464, 0.00043017076053548914, 0.008152716901329746]	[1, 0, 0, 0, 0, 0]
[0.9822171348664424, 0.00800138960873547, 0.12128619910363574, 0.00883718567144014, 0.00021915699508380846, 0.0050428693084482576]	[1, 0, 0, 0, 0, 0]
[0.9674726056248574, 0.004523207562448824, 0.129995884923627, 0.0016111130902079773, 0.0015578221160581188, 0.015404635824613624]	[1, 0, 0, 0, 0, 0]
[0.9493490725763667, 0.009243764368913682, 0.11447310512462852, 0.0009321006459204589, 0.0018526795603497866, 0.022262258466082728]	[1, 0, 0, 0, 0, 0]
[0.028391330263729406, 0.08665873216739525, 0.039123483587712775, 0.13735371084267714, 0.004286678543712495, 0.0022068508210309626]	[0, 1, 0, 0, 0, 0]
[0.004403889651190525, 0.6495547516080753, 0.07359530468343194, 0.0209609734216741, 0.0011527370299666995, 0.005703883636056142]	[0, 1, 0, 0, 0, 0]
[0.06304200002532669, 0.7735872912213551, 0.13802450583425374, 0.03443550203903438, 5.2137685538008195e-05, 0.00384098713800112]	[0, 1, 0, 0, 0, 0]
[0.010264430878060836, 0.03141779018862237, 0.9799212499641192, 0.018611629081727737, 5.175506394775495e-05, 0.011143697020562416]	[0, 0, 1, 0, 0, 0]
